_id,first_name,roll_num,email,class,section
0,Liam,1,liam@school.com,10,A
1,Noah,2,noah@school.com,10,B
2,William,3,william@school.com,7,B
3,James,4,james@school.com,8,B
4,Logan,5,logan@school.com,11,A
5,Benjamin,6,benjamin@school.com,11,B
6,Mason,7,mason@school.com,8,A
7,Elijah,8,elijah@school.com,11,B
8,Oliver,9,oliver@school.com,7,B
9,Jacob,10,jacob@school.com,7,A
10,Lucas,11,lucas@school.com,11,B
11,Michael,12,michael@school.com,7,A
12,Alexander,13,alexander@school.com,11,A
13,Ethan,14,ethan@school.com,9,B
14,Daniel,15,daniel@school.com,9,A
15,Matthew,16,matthew@school.com,11,B
16,Aiden,17,aiden@school.com,9,B
17,Henry,18,henry@school.com,10,B
18,Joseph,19,joseph@school.com,7,A
19,Jackson,20,jackson@school.com,9,A
20,Samuel,21,samuel@school.com,11,A
21,Sebastian,22,sebastian@school.com,10,A
22,David,23,david@school.com,11,B
23,Carter,24,carter@school.com,10,A
24,Wyatt,25,wyatt@school.com,12,B
25,Jayden,26,jayden@school.com,8,A
26,John,27,john@school.com,8,B
27,Owen,28,owen@school.com,10,B
28,Dylan,29,dylan@school.com,7,A
29,Luke,30,luke@school.com,12,B
30,Gabriel,31,gabriel@school.com,7,A
31,Anthony,32,anthony@school.com,10,B
32,Isaac,33,isaac@school.com,12,A
33,Grayson,34,grayson@school.com,8,A
34,Jack,35,jack@school.com,10,A
35,Julian,36,julian@school.com,8,A
36,Levi,37,levi@school.com,12,A
37,Christopher,38,christopher@school.com,7,B
38,Joshua,39,joshua@school.com,9,B
39,Andrew,40,andrew@school.com,12,B
40,Lincoln,41,lincoln@school.com,7,A
41,Mateo,42,mateo@school.com,11,A
42,Ryan,43,ryan@school.com,11,B
43,Jaxon,44,jaxon@school.com,10,A
44,Nathan,45,nathan@school.com,9,A
45,Aaron,46,aaron@school.com,10,A
46,Isaiah,47,isaiah@school.com,10,B
47,Thomas,48,thomas@school.com,10,B
48,Charles,49,charles@school.com,8,A
49,Caleb,50,caleb@school.com,12,A
50,Josiah,51,josiah@school.com,9,B
51,Christian,52,christian@school.com,10,B
52,Hunter,53,hunter@school.com,9,B
53,Eli,54,eli@school.com,11,B
54,Jonathan,55,jonathan@school.com,11,B
